customer_id,customer_key,first_name,last_name,marital_status,create_date,birth_date,gender,country
11000,AW00011000,Jon,Yang,MARRIED,2025-10-06,1971-10-06,MALE,Australia
11001,AW00011001,Eugene,Huang,SINGLE,2025-10-06,1976-05-10,MALE,Australia
11002,AW00011002,Ruben,Torres,MARRIED,2025-10-06,1971-02-09,MALE,Australia
11003,AW00011003,Christy,Zhu,SINGLE,2025-10-06,1973-08-14,FEMALE,Australia
11004,AW00011004,Elizabeth,Johnson,SINGLE,2025-10-06,1979-08-05,FEMALE,Australia
11005,AW00011005,Julio,Ruiz,SINGLE,2025-10-06,1976-08-01,MALE,Australia
11006,AW00011006,Janet,Alvarez,SINGLE,2025-10-06,1976-12-02,FEMALE,Australia
11007,AW00011007,Marco,Mehta,MARRIED,2025-10-06,1969-11-06,MALE,Australia
11008,AW00011008,Rob,Verhoff,SINGLE,2025-10-06,1975-07-04,FEMALE,Australia
11009,AW00011009,Shannon,Carlson,SINGLE,2025-10-06,1969-09-29,MALE,Australia
11010,AW00011010,Jacquelyn,Suarez,SINGLE,2025-10-06,1969-08-05,FEMALE,Australia
11011,AW00011011,Curtis,Lu,MARRIED,2025-10-06,1969-05-03,MALE,Australia
11012,AW00011012,Lauren,Walker,MARRIED,2025-10-06,1979-01-14,FEMALE,"United States"
11013,AW00011013,Ian,Jenkins,MARRIED,2025-10-06,1979-08-03,MALE,"United States"
11014,AW00011014,Sydney,Bennett,SINGLE,2025-10-06,1973-11-06,FEMALE,"United States"
11015,AW00011015,Chloe,Young,SINGLE,2025-10-06,1984-08-26,FEMALE,"United States"
11016,AW00011016,Wyatt,Hill,MARRIED,2025-10-07,1984-10-25,MALE,"United States"
11017,AW00011017,Shannon,Wang,SINGLE,2025-10-07,1949-12-24,FEMALE,Australia
11018,AW00011018,Clarence,Rai,SINGLE,2025-10-07,1955-10-06,MALE,Australia
11019,AW00011019,Luke,Lal,SINGLE,2025-10-07,1983-09-04,MALE,Canada
11020,AW00011020,Jordan,King,SINGLE,2025-10-07,1984-03-19,MALE,Canada
11021,AW00011021,Destiny,Wilson,SINGLE,2025-10-07,1984-03-02,FEMALE,"United States"
11022,AW00011022,Ethan,Zhang,MARRIED,2025-10-07,1984-04-10,MALE,"United States"
11023,AW00011023,Seth,Edwards,MARRIED,2025-10-07,1984-04-09,MALE,"United States"
11024,AW00011024,Russell,Xie,MARRIED,2025-10-07,1984-03-16,MALE,"United States"
11025,AW00011025,Alejandro,Beck,MARRIED,2025-10-07,1951-06-22,MALE,Australia
11026,AW00011026,Harold,Sai,SINGLE,2025-10-07,1951-10-01,MALE,Australia
11027,AW00011027,Jessie,Zhao,MARRIED,2025-10-07,1952-06-05,MALE,Australia
11028,AW00011028,Jill,Jimenez,MARRIED,2025-10-07,1951-10-09,FEMALE,Australia
11029,AW00011029,Jimmy,Moreno,MARRIED,2025-10-07,1952-06-19,MALE,Australia
11030,AW00011030,Bethany,Yuan,MARRIED,2025-10-07,1958-02-18,FEMALE,Australia
11031,AW00011031,Theresa,Ramos,MARRIED,2025-10-07,1953-02-18,FEMALE,Australia
11032,AW00011032,Denise,Stone,MARRIED,2025-10-07,1952-12-08,FEMALE,Australia
11033,AW00011033,Jaime,Nath,MARRIED,2025-10-07,1958-09-19,MALE,Australia
11034,AW00011034,Ebony,Gonzalez,MARRIED,2025-10-07,1952-12-16,FEMALE,Australia
11035,AW00011035,Wendy,Dominguez,MARRIED,2025-10-07,1953-08-23,FEMALE,Australia
11036,AW00011036,Jennifer,Russell,MARRIED,2025-10-07,1984-06-16,FEMALE,"United States"
11037,AW00011037,Chloe,Garcia,SINGLE,2025-10-07,1983-05-27,FEMALE,Canada
11038,AW00011038,Diana,Hernandez,MARRIED,2025-10-07,1953-09-20,FEMALE,Australia
11039,AW00011039,Marc,Martin,MARRIED,2025-10-07,1954-06-16,MALE,Australia
11040,AW00011040,Jesse,Murphy,MARRIED,2025-10-07,1983-01-29,MALE,"United States"
11041,AW00011041,Amanda,Carter,MARRIED,2025-10-07,1983-04-15,FEMALE,"United States"
11042,AW00011042,Megan,Sanchez,MARRIED,2025-10-07,1982-12-11,FEMALE,"United States"
11043,AW00011043,Nathan,Simmons,MARRIED,2025-10-07,1981-08-23,MALE,"United States"
11044,AW00011044,Adam,Flores,MARRIED,2025-10-07,1954-11-21,MALE,Australia
11045,AW00011045,Leonard,Nara,SINGLE,2025-10-07,1955-11-16,MALE,Australia
11046,AW00011046,Christine,Yuan,MARRIED,2025-10-07,1955-09-19,FEMALE,Australia
11047,AW00011047,Jaclyn,Lu,MARRIED,2025-10-07,1955-08-27,FEMALE,Australia
11048,AW00011048,Jeremy,Powell,MARRIED,2025-10-07,1956-05-21,MALE,Australia
11049,AW00011049,Carol,Rai,SINGLE,2025-10-07,1986-01-15,FEMALE,"United States"
11050,AW00011050,Alan,Zheng,MARRIED,2025-10-07,1957-03-06,MALE,Australia
11051,AW00011051,Daniel,Johnson,SINGLE,2025-10-07,1957-01-31,MALE,Australia
11052,AW00011052,Heidi,Lopez,SINGLE,2025-10-07,1957-02-03,FEMALE,Australia
11053,AW00011053,Ana,Price,MARRIED,2025-10-07,1986-02-17,FEMALE,"United States"
11054,AW00011054,Deanna,Munoz,MARRIED,2025-10-07,1957-09-07,FEMALE,Australia
11055,AW00011055,Gilbert,Raje,MARRIED,2025-10-07,1957-09-02,MALE,Australia
11056,AW00011056,Michele,Nath,MARRIED,2025-10-07,1958-10-01,FEMALE,Australia
11057,AW00011057,Carl,Andersen,MARRIED,2025-10-07,1970-04-07,MALE,Australia
11058,AW00011058,Marc,Diaz,MARRIED,2025-10-07,1965-04-23,MALE,Australia
11059,AW00011059,Ashlee,Andersen,SINGLE,2025-10-07,1959-09-29,FEMALE,Australia
11060,AW00011060,Jon,Zhou,MARRIED,2025-10-07,1959-09-14,MALE,Australia
11061,AW00011061,Todd,Gao,MARRIED,2025-10-07,1976-02-20,MALE,Australia
11062,AW00011062,Noah,Powell,MARRIED,2025-10-07,1981-03-01,MALE,"United States"
11063,AW00011063,Angela,Murphy,SINGLE,2025-10-07,1980-10-04,FEMALE,"United States"
11064,AW00011064,Chase,Reed,MARRIED,2025-10-07,1981-06-05,MALE,"United States"
11065,AW00011065,Jessica,Henderson,MARRIED,2025-10-07,1979-04-08,FEMALE,"United States"
11066,AW00011066,Grace,Butler,MARRIED,2025-10-07,1979-05-27,FEMALE,"United States"
11067,AW00011067,Caleb,Carter,SINGLE,2025-10-07,1982-03-25,MALE,"United States"
11068,AW00011068,Tiffany,Liang,SINGLE,2025-10-07,1966-09-19,FEMALE,Australia
11069,AW00011069,Carolyn,Navarro,SINGLE,2025-10-07,1966-09-17,FEMALE,Australia
11070,AW00011070,Willie,Raji,MARRIED,2025-10-07,1960-10-02,MALE,Australia
11071,AW00011071,Linda,Serrano,SINGLE,2025-10-07,1960-12-23,FEMALE,Australia
11072,AW00011072,Casey,Luo,SINGLE,2025-10-07,1960-08-05,FEMALE,Australia
11073,AW00011073,Amy,Ye,SINGLE,2025-10-07,1962-02-11,FEMALE,Australia
